Date,Price,Open,High,Low,Vol.,Change %
16-Oct-20,66.06,69.26,70.02,65.36,182.28K,-0.0461
17-Oct-20,67.28,66.07,67.41,65.23,93.72K,0.0184
18-Oct-20,67.24,67.29,67.29,66.52,42.76K,-0.0006
19-Oct-20,74.84,67.23,77.35,66.14,377.28K,0.1130
20-Oct-20,70.64,74.92,76.88,70.43,339.20K,-0.0560
21-Oct-20,74.82,70.64,76.94,70.37,253.29K,0.0591
22-Oct-20,74.89,74.84,77.83,74.13,220.78K,0.0010
23-Oct-20,72.14,74.9,75.2,70.69,179.58K,-0.0367
24-Oct-20,73.32,72.14,73.64,71.39,182.20K,0.0164
25-Oct-20,71.03,73.31,73.72,70.42,167.71K,-0.0312
26-Oct-20,69.12,71.03,72.45,68.47,248.31K,-0.0270
27-Oct-20,70.68,69.09,72.12,68.95,244.56K,0.0227
28-Oct-20,67.91,70.68,71.07,66.77,214.91K,-0.0393
29-Oct-20,67.07,67.9,68.68,65.66,190.56K,-0.0124
30-Oct-20,69.54,67.02,72.27,64,374.77K,0.0369
31-Oct-20,69.94,69.53,72.77,68.48,246.99K,0.0057
1-Nov-20,68.57,69.94,70.34,68.04,145.56K,-0.0195
2-Nov-20,64.86,68.57,69.38,64.63,263.27K,-0.0541
3-Nov-20,64.19,64.78,65.35,62.98,244.02K,-0.0104
4-Nov-20,64.44,64.21,65.02,62.15,213.62K,0.0039
5-Nov-20,67.73,64.46,69.86,63.51,280.37K,0.0512
6-Nov-20,70.05,67.7,70.71,67.38,347.42K,0.0342
7-Nov-20,66.57,70.05,72.12,65.09,280.61K,-0.0496
8-Nov-20,68.04,66.56,69.16,65.7,185.68K,0.0220
9-Nov-20,68.01,68.06,69.02,66.29,240.99K,-0.0004
10-Nov-20,68.75,68.01,69.5,67.37,215.87K,0.0109
11-Nov-20,69.18,68.74,71.49,68.59,185.34K,0.0062
12-Nov-20,77.74,69.18,79.49,68.23,609.44K,0.1238
13-Nov-20,77.39,77.67,79.17,75.4,212.78K,-0.0045
14-Nov-20,77.02,77.37,79.46,74.2,241.50K,-0.0048
15-Nov-20,74.67,77,77.46,73.28,206.99K,-0.0305
16-Nov-20,80.51,74.69,82.37,74.2,277.12K,0.0782
17-Nov-20,82.95,80.48,83.64,80,301.29K,0.0304
18-Nov-20,79.7,82.95,83.5,76.79,262.99K,-0.0392
19-Nov-20,82.08,79.7,84.64,77.55,227.89K,0.0299
20-Nov-20,83.19,82.08,84.72,81.91,186.10K,0.0134
21-Nov-20,94.35,83.19,94.36,82.95,438.19K,0.1342
22-Nov-20,90.44,94.33,95.2,85.54,450.35K,-0.0415
23-Nov-20,93.99,90.45,95.26,89.37,431.97K,0.0393
24-Nov-20,114.06,96.76,123.15,95.69,1.26M,0.2135
25-Nov-20,102.08,114.07,115.83,98.48,645.72K,-0.1050
26-Nov-20,91.67,102.07,103.95,83.67,726.75K,-0.1019
27-Nov-20,92.28,91.79,95.59,87.13,354.57K,0.0066
28-Nov-20,109.09,92.29,113.69,90.99,590.16K,0.1822
29-Nov-20,108.09,109.09,114.46,104.24,582.07K,-0.0091
30-Nov-20,112.96,108.16,118.25,106.66,664.38K,0.0451
1-Dec-20,103.87,112.96,115.92,101.19,549.63K,-0.0805
2-Dec-20,105.36,103.87,107.86,100.58,332.58K,0.0143
3-Dec-20,107.52,105.34,108.29,103.79,173.88K,0.0205
4-Dec-20,98.86,107.52,111.03,97.43,229.05K,-0.0805
5-Dec-20,103.03,98.79,103.62,96.66,148.68K,0.0421
6-Dec-20,102.16,103.03,104.62,99.25,130.67K,-0.0084
7-Dec-20,101.55,102.1,104.4,100.4,134.33K,-0.0060
8-Dec-20,95.1,101.54,101.73,93.42,153.44K,-0.0635
9-Dec-20,95.63,95.1,95.97,88.58,183.84K,0.0056
10-Dec-20,92.84,95.62,95.97,90.88,89.76K,-0.0292
11-Dec-20,93.14,92.85,95.13,87.81,210.97K,0.0032
12-Dec-20,94.64,93.17,97.32,93.04,143.65K,0.0161
13-Dec-20,97.62,94.67,99.36,93.69,141.94K,0.0315
14-Dec-20,96.68,97.61,97.63,94.29,143.24K,-0.0096
15-Dec-20,96.94,96.68,97.54,94.14,140.35K,0.0027
16-Dec-20,105.35,96.94,105.45,94.53,292.53K,0.0868
17-Dec-20,108.34,105.35,115.86,101.35,560.86K,0.0284
18-Dec-20,107.99,108.31,113.92,104.02,442.27K,-0.0032
19-Dec-20,108.29,107.99,112.36,105.59,279.06K,0.0028
20-Dec-20,109.53,108.31,114.36,104.35,433.70K,0.0114
21-Dec-20,103.94,109.52,119.37,101.91,641.45K,-0.0510
22-Dec-20,105.86,103.89,106.44,96.15,428.65K,0.0184
23-Dec-20,91.35,105.81,106.25,87.36,367.26K,-0.1371
